global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
1119.4751046354666	n/a	1253224.5098985888	n/a	1731.053041422142	n/a	2996544.6322168484	n/a	1125.7191092114929	n/a	1267243.5128439171	n/a	1279.473874864124	976.2924830545038	n/a	n/a	n/a	n/a	-0.0490428509	0.0924813561	0.1643741038	-0.067542161	0.0378104696	0.0897182755	-0.0849091203	0.2071974347	-0.0538674518	0.0397629727	-0.0189158298	0.0924735897	-0.1876185268	0.1803679234	-0.0304053967	0.0573553499	0.0074098656	0.084502564	0.2402866864	0.102415095	0.0716092062	0.1320253007	0.2149495812	0.1032369541	-0.0710092202	0.0242622129	-0.11545462	0.0741889401	-0.0059665462	0.2181550461	-0.2640334714	-0.1550483521	0.0557096631	0.049986895	-0.067283571	-0.1934963389	0.0220279207	-0.0869178237	0.181791742	-0.1063499082	0.0834618486	-0.1180863931	0.0980153017	0.0129140952	-0.1889792963	0.1920500788	-0.0450854948	0.0573265639	-0.0167178871	0.2643806809	-0.0204571166	0.0588669486	-0.0727426247	0.0581538726	0.0836505093	-0.1733430394	-0.1509236203	0.0693604704	-0.0169850026	0.1167881147	-0.1038534047	0.1610514465	-0.2387166123	0.0141416035	-0.1199032839	0.0748093875	0.0645051022	-0.1895380175	0.234476066	-0.0570303766	0.0901822464	-0.2247686488	0.0083137084	-0.0175409715	0.038191872	-0.0385258177	0.0544264752	-0.0021699108	-0.0536293399	0.153366806	0.1532882396	-0.0213818276369295	n/a	0.0004571825530953	n/a	-0.0153099758934303	n/a	0.0002343953618574	n/a	0.0130097644914073	n/a	0.0001692539721218	n/a	0.0017239973569492	n/a	n/a	2.972166886767827e-06	0.0024331539807664	n/a	n/a	5.920238294119378e-06	-0.0004065984383698	n/a	n/a	1.653222900847601e-07	0.0	0.0	0.0	0.0	0.0
1121.6437520259333	2.168647390466731	1258084.7064588133	4.703031504178162	1736.062917889289	5.009876467147024	3013914.4548702724	25.09886221607354	1127.0628881891932	1.3437789777003672	1270270.753933366	1.805741940909444	1280.5893601917085	982.4131202626716	1.021413	20.772881	0.0410075665906715	0.0205551416903972	-0.110746723	0.0811788628	0.1433059402	-0.0919534776	-0.1145173595	0.1856366356	0.0335935581	0.1468572678	-0.0992460931	0.1787485316	0.1843102842	0.007448805	-0.204067261	0.0827075022	-0.1543037964	0.0917351346	-0.0835735345	0.053725075	0.1477892467	0.0206059621	-0.0279342664	-0.093764657	0.1747306857	-0.0469694294	-0.0336101982	0.067422391	-0.0968173861	-0.0537482804	-0.2155922605	0.0728317849	-0.0710674224	-0.082969394	0.0767772543	-0.0277153659	0.0005170393	-0.1989255779	-0.0245912861	-0.1553886251	0.0580103693	-0.1749020457	-0.1348185197	0.0382415539	0.009550056	-0.0723593374	-0.2129877807	0.0783668138	0.0576392609	0.0147280504	-0.021191594	0.2044410184	-0.0669752403	-0.0127022248	-0.1355900119	0.0947538917	0.1561933462	-0.1704152265	-0.1483114738	0.0641190264	-0.0975528326	0.1653209221	-0.0098704833	0.0773382676	-0.1885419054	0.0555978397	-0.0232587197	0.189056544	0.1457332124	-0.1252681463	0.2007015748	-0.0723046918	0.1234625304	-0.1035697591	-0.0027317254	0.02924726	0.0584794163	-0.0530568997	-0.0811294568	-0.0021421987	0.0272158025	0.1531573254	0.1524510324	-0.0296710096988448	-0.0082891820619152	0.0008803688165489	6.871053925557835e-05	-0.0060983694293668	0.0092116064640635	3.719010969703555e-05	8.485369364877646e-05	0.028248580355715	0.0152388158643077	0.0007979822921132	0.0002322215089462	0.0016759866269565	-4.801072999269999e-05	2.3050301944319424e-09	2.808931173737026e-06	0.0023241558828566	-0.0001089980979097	1.1880585347954341e-08	5.401700567816942e-06	-0.000414948854475	-8.350416105199951e-06	6.972944912998272e-11	1.7218255183011472e-07	0.0	0.0	0.0	0.0	0.0
1120.66364307199	-0.9801089539432724	1255887.0009033843	0.9606135615997756	1735.800670047976	-0.262247841313183	3013003.9661390022	0.0687739302734244	1128.5633260744428	1.5004378852495392	1273655.180960209	2.251313847492109	1283.7429595674787	992.437763143074	1.129934	22.979927	0.0415308415793679	0.0218069745253018	-0.0718205973	-0.038839791	0.2102915665	0.1110607623	-0.0824892778	0.2599245121	-0.0043783375	-0.0738669444	-0.0896857306	-0.0186996899	0.1583033536	0.14091972	-0.1135498033	0.0691381139	-0.2057018442	-0.0403620853	0.0094363287	0.0076718758	-0.0486781873	0.0838538126	0.1061934895	-0.0708620063	-0.2552063978	-0.157257099	-0.1873017426	0.1433122526	-0.0368359557	0.0057805992	-0.2143661651	-0.097080631	-0.0923420365	0.0318617237	-0.1617319992	-0.0760676425	0.0237258208	-0.0976579308	0.0223496346	-0.2276840853	-0.1032413743	0.0527849102	-0.0217663366	-0.0082429508	-0.045610606	0.0723085908	-0.1513598183	-0.0013744714	0.1864080137	-0.0400270608	-0.0663843928	-0.0816230126	0.2103279839	-0.0293734412	-0.150257667	0.0434083651	-0.3109131338	-0.1548147527	-0.0338506444	0.086167432	-0.2184081114	0.1122755999	0.072891795	-0.008453652	-0.2136286735	-0.033996946	0.0686140771	0.0888772075	0.1674165269	-0.0307564921	0.1680220762	0.0350444108	-0.0969705829	-0.0817483268	0.0106309774	0.0139521056	0.188633909	-0.0250847883	0.0992015753	-0.0941204466	0.0820058986	0.1527386503	0.1507811905	-0.0259140351540452	0.0037569745447996	0.000671537217965	1.411485773027217e-05	-0.0020918991000655	0.0040064703293013	4.376041844854849e-06	1.6051804499571666e-05	0.009788651135878	-0.018459929219837	9.581769105992568e-05	0.0003407689868013	0.0017380771229467	6.209049599019997e-05	3.8552296923090385e-09	3.0209120853106776e-06	0.0021870496022111	-0.0001371062806455	1.8798132192442613e-08	4.783185962531731e-06	-0.0005219014275479	-0.0001069525730729	1.1438852886914028e-08	2.72381100076536e-07	0.0	0.0	0.0	0.0	0.0
1119.436248489487	-1.2273945825029386	1253137.5144322163	1.506497461157563	1729.086825316807	-6.71384473116882	2989741.2494841544	45.07571107424332	1126.5486935956762	-2.0146324787665435	1269111.959042125	4.058744024501028	1279.3607337664043	974.372751129406	1.256777	25.559568	0.1855941045894006	0.1184807245627328	0.1085222792	-0.137442955	0.1230331862	0.1669234999	0.0505885132	0.087078774	-0.1608555091	-0.1210549745	-0.0205152897	-0.0234312271	-0.1468681332	0.0253238519	-0.0347186278	-0.1759649054	-0.1435709858	-0.1248177215	0.0966677931	-0.0711928458	-0.032104251	-0.0450437403	0.1228578041	-0.1742104853	0.1611787874	0.2190210239	0.0122058383	0.0151574008	0.1023502046	-0.291972494	-0.0568806652	-0.0453807443	0.0422683312	-0.0045417645	-0.0998739689	-0.1128642733	-0.0054606283	0.0653423819	0.1763898137	-0.0714149852	-0.1388056564	0.0481432091	0.1657737772	-0.0163749426	-0.0388653908	-0.0339086815	0.0976443333	-0.0446941706	0.0895831544	0.1881794749	0.026252393	0.0487318614	-0.0797930795	0.2451554825	0.0135817088	0.2336432816	0.0263062208	-0.0717377916	0.11598552	-0.0505698876	-0.1956566619	-0.0609545447	0.0013502929	0.085527025	-0.1215892525	-0.1473672539	0.1192015605	-0.076724557	0.0616884028	-0.0027296865	0.0545156725	-0.0980894346	-0.0886787875	-0.0809308677	0.1868588335	-0.1404499746	-0.1252694433	-0.002370569	0.0081889305	0.0969397161	-0.0029554545	0.1521113526	0.148287834	-0.022110819350857	0.0038032158031881	0.0004888883323662	1.4464450445620456e-05	0.0207719088325433	0.0228638079326088	0.0004314721965474	0.0005227537131792	-0.0101337718421206	-0.0199224229779986	0.0001026933317481	0.0003969029373142	-0.0005321746794107	-0.0022702518023573	5.154043246107022e-06	2.832098894058813e-07	0.0018461005813545	-0.0003409490208566	1.1624623482307425e-07	3.408087356477423e-06	-0.0003530090932498	0.0001688923342981	2.8524620584661173e-08	1.24615419917046e-07	0.0	0.0	0.0	0.0	0.0
1122.430898533456	2.994650043968932	1259851.1219826215	8.967928885843124	1729.3086118158303	0.2217864990232101	2990508.274900394	0.0491892511489723	1125.765841002858	-0.7828525928182444	1267348.728768872	0.612858182082248	1276.000187298608	993.061195274083	1.309547	26.632774	0.1737601504390321	0.07983873499766	0.1787433679	0.0440635851	-0.0510210546	0.0257686071	0.2028064917	-0.0162521824	-0.0607115454	0.1039949865	0.1112039124	-0.0448854762	0.1128766598	0.0743143758	-0.0548291855	-0.1203819703	0.0753002386	0.0408759162	0.1649891317	-0.1498632091	0.0230060766	0.0595370331	-0.0346196976	0.1141345429	-0.187801574	0.0850452863	-0.0631862088	0.0424595522	-0.0116943677	-0.17318159	0.0273374289	0.0901087082	0.0316822986	-0.0388480774	0.0020070576	-0.0943866197	-0.0441218439	0.028781077	0.1709219523	0.1035438397	0.0846768098	-0.1713721973	0.0179912679	-0.022122413	-0.0533527295	-0.0297374256	-0.0119533414	-0.16748332	0.1183169128	-0.0008082588	-0.0176188872	-0.1382542899	0.0357989255	-0.1093822738	0.0499064378	0.1829244254	-0.0066074193	-0.0189897927	0.0433599811	-0.1617968019	0.0481904206	-0.0584944191	-0.0479212065	0.1502980654	-0.0696839338	-0.0284919322	0.1456277704	-0.1281799721	0.1253889745	-0.0284709257	-0.1373784292	0.0939302779	0.0439742534	0.1479765428	-0.0589278136	0.0378648474	0.0732902139	-0.0568829653	-0.0401930243	0.0279855344	0.1279073144	0.151276289	0.1449845808	-0.0076950922897509	0.014415727061106	5.921444534778375e-05	0.0002078131867003	-0.014835584658229	-0.0356074934907723	0.0002200945721514	0.0012678935926953	-0.0625017294145493	-0.0523679575724287	0.0039064661798095	0.0027424029803076	-0.0013138133206357	-0.0007816386412249	6.109589654560642e-07	1.7261054414798044e-06	0.0012601972720187	-0.0005859033093358	3.432826878906422e-07	1.5880971644033732e-06	-0.0002931715975161	5.98374957337e-05	3.580525895680565e-09	8.594958559014216e-08	0.0	0.0	0.0	0.0	0.0
1122.396916080958	-0.033982452498094	1259774.8372280449	0.0011548070777852	1743.1506603888745	13.842048573044169	3038574.224814169	191.6023086985141	1126.9089249077192	1.1430839048612145	1269923.7250366716	1.3066408135527614	1280.2484044725932	986.7004185895014	1.358443	27.627193	0.1070924448292324	0.0594612503950394	-0.0683901995	0.1515513224	-0.0144068974	-0.1719045714	-0.0934148947	-0.0299936633	0.0544881314	-0.0433534458	0.0603234935	-0.0975862667	-0.0243497104	-0.1586799605	0.0358324181	0.1160616373	0.0364060506	0.1014424896	0.0265540884	-0.2000484727	0.0295383753	-0.0276257152	0.0003262469	0.0453094068	-0.0800335942	-0.0964118156	0.029031888	-0.0424922837	0.0678489351	-0.2079659788	-0.1204050265	-0.1623930691	-0.025051999	-0.237199968	0.0613611925	0.1573379733	0.0218333369	-0.0697511729	-0.1294887556	0.0889915391	0.0990704257	-0.0466734049	0.0190782068	0.0246290375	-0.1030918586	-0.1410810096	0.0250013652	-0.0948183189	0.110604792	0.192928199	0.1280046001	-0.0058202647	-0.0524818503	-0.1530060473	0.1945520643	0.0445413996	0.054119329	0.0299073105	-0.1076380901	-0.0215941521	0.0763025654	0.0092777066	0.1318229642	0.1390303479	0.0283851116	-0.0111983296	0.1691369805	0.0015326527	0.0167030196	-0.0117935833	-0.1632575715	-0.1503916574	0.0193524331	0.0512008769	0.0650998248	0.0101806565	-0.2081008869	-0.03154545	-0.0874637135	-0.0277453029	0.0479907639	0.1502346003	0.1408894722	-0.0052618530583572	0.0024332392313937	2.7687097607743016e-05	5.920653157193406e-06	0.000614577777398	0.015450162435627	3.777058444714656e-07	0.0002387075192872	-0.0210451955801076	0.0414565338344417	0.0004429002570049	0.0017186441975662	-0.0019503638045197	-0.000636550483884	4.051965185329548e-07	3.803918969980559e-06	0.0009417865755023	-0.0003184106965163	1.013853716560589e-07	8.869619537963494e-07	-0.0002930825913611	8.900615500000413e-08	7.92209562788476e-15	8.589740535893755e-08	0.0	0.0	0.0	0.0	0.0
1123.0618844534824	0.6649683725245268	1261267.996312207	0.4421829364579178	1736.3177608274063	-6.832899561468139	3014799.366564698	46.68851641711149	1129.7539555260894	2.845030618370174	1276344.0000268451	8.094199219463775	1281.8474373363313	988.6962110352472	1.334209	27.134344	0.040513849719362	0.0209632659282873	-0.144082969	-0.0671314325	0.0789109998	0.0517886026	-0.1722742457	0.0297768735	-0.0668354742	-0.0066781403	0.1069907836	-0.0851174702	0.1112568167	0.0108263979	0.1101920974	0.0693880438	-0.1073608085	0.0992769126	-0.0347713544	-0.1176087128	-0.1669492819	-0.0312412779	-0.0501820622	-0.0074210611	-0.0887714975	-0.0386927998	0.1596174979	0.0406995351	0.0858296566	0.0850635659	-0.2052153072	0.1783715343	0.105588139	-0.0441012758	-0.2140747044	-0.0226209446	-0.0165517848	0.0738683194	-0.1261034229	-0.1189627049	-0.0701269337	-0.1515119812	0.0006263432	-0.0064367731	-0.0306750637	-0.0562143093	0.1485611505	-0.2205751444	0.0969174104	-0.0072724959	-0.0467825203	-0.0994735454	-0.0350755255	0.0064703403	-0.1662617294	0.0384653218	0.0585969344	0.0453334323	-0.0310489168	0.0462922943	-0.1320881315	0.0221183781	0.1738462325	0.0754364893	0.0616093838	-0.0906717179	0.1369479998	0.0514076203	0.0439635658	-0.0709579116	-0.1750772386	0.0926569419	-0.042590787	0.1137075301	-0.0135912559	-0.0219574558	-0.0397680844	0.1401448038	0.1213643114	-0.0436491709	0.1078425095	0.1489877092	0.136024874	-0.0132937154182286	-0.0080318623598714	0.0001767228696208	6.451081296791898e-05	0.006718148751645	0.006103570974247	4.513352264922927e-05	3.725357863767047e-05	-0.0227177430832412	-0.0016725475031336	0.0005160958507961	2.797415150238442e-06	-0.0022949356336832	-0.0003445718291635	1.1872974545308033e-07	5.266729562748912e-06	0.000943167322406	1.3807469036999573e-06	1.906462012077019e-12	8.895645980545035e-07	-0.0001449177897861	0.000148164801575	2.1952808425759125e-08	2.1001165796488278e-08	0.0	0.0	0.0	0.0	0.0
1125.717132133909	2.6552476804265552	1267239.0615797928	7.050340244410602	1734.6373373787358	-1.680423448670581	3008966.69222839	2.823822966841929	1128.4861084824308	-1.2678470436585485	1273480.897037821	1.607436126113721	1278.8736582483564	997.8382448590668	1.252126	25.464996	0.1188945340185187	0.0657880456328643	0.0491671403	-0.1648767653	-0.0427499825	0.1343329554	-0.0242981803	-0.1118485522	-0.1484735914	-0.0859880178	-0.0654703085	0.0660375999	-0.0142926056	-0.015327853	0.1070574236	-0.1699533969	-0.1081267248	-0.0022543583	0.1360373894	-0.0113824853	-0.144675029	0.0331441599	-0.0155357481	-0.052318071	0.1563766769	0.0187799166	0.1599954405	-0.0172445259	-0.0443485227	0.0770398288	-0.125616738	-0.1410289024	-0.080530184	-0.037631807	-0.0803133615	-0.0905578423	0.0464731366	0.1771327523	0.0856174497	-0.0070750348	-0.1188793787	-0.1154218256	0.1014804661	0.1434060473	-0.0724468082	-0.026717238	0.105151929	-0.0539290691	0.0514351655	-0.0220847674	0.1368153915	0.0224419173	-0.0839616822	0.1022847258	0.0278706027	0.0052664674	0.0288832774	0.0684907094	0.1299415111	-0.0508864926	-0.1078974534	-0.1852242662	0.0600207592	0.0454503564	-0.0126952689	-0.0874499417	0.0874218784	-0.0164030242	0.0387067455	-0.0195722181	-0.0559537243	-0.0461487294	0.0265329598	0.0429444615	0.0080619973	-0.061169669	-0.1166188389	0.1052402054	-0.0875704699	0.0478883127	-0.0982719416	0.1475373187	0.1304173552	0.0005237654156644	0.013817480833893	2.743302106461017e-07	0.000190922776595	0.0241042720494277	0.0173861232977827	0.0005810159310328	0.0003022772833257	-0.0787111402855842	-0.0559933972023429	0.0061954436050569	0.0031352605302593	-0.0021249472542648	0.0001699883794184	2.889604913729397e-08	4.515400833407513e-06	0.000537216221693	-0.000405951100713	1.6479629617009626e-07	2.886012688501025e-07	-0.0002029289633447	-5.8011173558599984e-05	3.3652962576460105e-09	4.11801641641546e-08	0.0	0.0	0.0	0.0	0.0
1125.0329653999222	-0.6841667339867854	1265699.1732365426	0.4680841198941448	1742.5846227969764	7.947285418240654	3036601.1676084804	63.15934551898052	1127.4559536155211	-1.0301548669096974	1271156.9273430842	1.0612190498177363	1280.404149729108	1012.3638731105812	1.27716	25.974115	0.0644004538833417	0.0426207851633015	0.1143396633	0.0392574024	-0.1749914422	-0.0282668369	0.1724623843	-0.1322246856	0.0766955928	0.0276548007	-0.0417279695	-0.1163737488	0.0572674107	-0.0372165491	0.0979586944	-0.0946777594	0.1049415106	0.0816613913	0.1823091431	-0.1255177694	-0.0688837704	0.0775010387	-0.1393504359	-0.1812900289	0.0282391106	0.0253520888	0.0408499102	0.0494309839	0.1729327051	0.0602666118	0.1383410574	-0.0717732228	0.0305074433	-0.0396745373	0.0809970575	0.1688605191	0.1181693169	0.0727522136	0.0707673955	0.2097960307	0.0933120313	-0.0599128716	0.0356664214	0.0164331752	-0.1536581204	-0.0101746562	0.0215699612	-0.1814827813	0.1133514653	-0.1464229799	-0.0811395466	0.0589702085	-0.007859718	0.054321938	-0.0850985962	-0.1001052873	-0.0027243113	0.0900798203	0.0084239352	-0.1454230422	0.105265029	-0.1073217051	0.0020476761	0.0767827719	-0.0172090463	-0.0039209761	0.0656945053	-0.1031219487	0.0720214349	0.0397551663	-0.1229804458	-0.0004648584	0.1319233536	0.0423307011	-0.2083191167	0.0379552359	-0.0331363583	-0.0107340654	0.1334965603	-0.028916389	-0.0753147568	0.1458854101	0.124097542	-0.0005849860698816	-0.001108751485546	3.422087019555202e-07	1.2293298567004616e-06	0.0247499030997033	0.0006456310502756	0.0006125577034447	4.168394530799748e-07	-0.0523424906981091	0.026368649587475	0.0027397363324816	0.000695305681067	-0.002714409853233	-0.0005894625989681	3.474661555823449e-07	7.368020851328396e-06	0.0005374605545107	2.4433281769998746e-07	5.969852580521531e-14	2.888638476549491e-07	-0.0003387704667597	-0.000135841503415	1.8452914050047463e-08	1.1476542914858501e-07	0.0	0.0	0.0	0.0	0.0
1125.3617055280854	0.3287401281631901	1266438.968269081	0.1080700718647506	1742.5885972076992	0.0039744107227761	3036615.019118297	1.5795940593318087e-05	1127.1940959965418	-0.2618576189793202	1270566.5300494612	0.0685694126175188	1280.831067471277	991.6816960570976	1.269463	25.81757	0.1200376319198612	0.0715369881796451	-0.0838577263	0.1374527719	-0.1269217917	-0.1874598316	-0.0394205275	-0.142613523	0.0351819859	0.0146369648	-0.0253391565	-0.0777413985	-0.0221749798	-0.0429861332	0.0949725752	0.1597768373	0.1286981166	0.0639802923	0.0391870671	0.0008036784	0.0680767128	-0.0533583604	0.0532693324	-0.1415473462	0.025607763	-0.0030092048	0.1003421266	0.1252129265	-0.1596993822	-0.0518777768	0.0598535032	0.0056160901	0.1537132718	-0.0312806272	0.1797888414	0.0329526754	0.0029357531	-0.0013302264	-0.1818277969	0.1574877436	0.1121849137	-0.0360019238	0.0505349408	0.0029227334	0.0259430011	-0.1112982674	-0.037359475	0.0487773119	-0.0125980235	0.1713161095	0.0748095457	0.0215069686	-0.0443104529	-0.0511326738	0.0864914808	-0.0113431429	-0.053233769	0.1079037155	-0.1334444567	-0.0455820485	0.0981427857	0.0376298453	0.062251026	0.1062468882	0.0540358224	0.074333397	0.07034086	0.0191500874	-0.0421633896	-0.0037113212	-0.0422356802	-0.1322512142	-0.0470483091	0.0145895599	0.0596701172	0.0672574407	-0.211770792	0.0983649064	-0.0107999868	-0.0276753431	-0.0435803064	0.1440342395	0.1170999511	-0.0056383628266587	-0.0050533767567771	3.179113536504669e-05	2.5536616645935043e-05	0.0008487862176309	-0.0239011168820724	7.204380432401695e-07	0.0005712633882104	-0.0012497494532723	0.0510927412448367	1.5618736959544128e-06	0.0026104682079118	-0.0034419010409234	-0.0007274911876903	5.292434281671887e-07	1.1846682775509584e-05	0.0006065902595626	6.912970505190002e-05	4.7789161205626925e-09	3.679517429962224e-07	-0.0003419575147409	-3.187047981199995e-06	1.0157274834470964e-11	1.1693494188777287e-07	0.0	0.0	0.0	0.0	0.0
