global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
10122.52174019752	n/a	n/a	102465446.38077144	12194.947815545716	n/a	n/a	148716752.22388324	11039.564858384369	n/a	n/a	121871992.26247507	11242.271243558072	10488.40931824176	n/a	n/a	n/a	n/a	-0.1235759266	-0.0191057008	0.0890788872	-0.0110798104	0.1684920599	-0.0131485603	0.0319687546	-0.0896052906	0.0650973907	-0.0223388612	0.0283686627	-0.0154870355	0.0529943955	-0.0154433204	0.0587560876	-0.0365519099	0.0603846427	-0.0469235245	0.0859276466	-0.0025735661	0.1081807858	-0.0274433638	0.0094743904	-0.2714054793	0.0218335676	-0.067483401	0.0725523031	-0.0159724617	0.1124268962	-0.03417038	0.0756610955	-0.0500353181	0.1285507852	-0.0263450656	0.1028140872	0.174988622	0.0520877831	-0.0264475594	0.1180364064	-0.0265055947	0.019603161	-0.0156174495	0.1043177466	-0.1254280068	0.0033877603	-0.0997459739	0.0938023252	-0.0841284941	0.0851418684	-0.1719679839	0.0337125334	-0.1741321315	0.0233735413	-0.07908453	0.0377519154	-0.124329926	0.0752452339	-0.1578032765	0.0053912338	-0.0078032151	0.0748278822	-0.0395982563	0.1060589904	0.1010934688	-0.0143546297	0.0466645181	-0.0930412239	0.1548325757	-0.1439643702	0.0582727303	-0.0012484742	0.0703686175	-0.2369725229	0.158170352	-0.1577086717	0.1769390974	-0.1947128625	0.1228426909	-0.0521162823	0.153366806	0.1532882396	0.0212981324633432	n/a	0.0004536104464261	n/a	0.0678053525931119	n/a	0.0045975658402762	n/a	-0.0785426391964136	n/a	n/a	0.006168946171938	0.000471999635976	n/a	2.2278365636147654e-07	n/a	0.0001160000262676	n/a	n/a	1.3456006094083889e-08	-2.7417121627784092e-08	n/a	7.516985583527061e-16	n/a
10144.027807792108	21.50606759458788	462.5109433829828	102901300.16525955	12267.550346147897	72.6025306021802	5271.127449840512	150492791.49527338	11028.110209440292	-11.454648944076324	131.20898243202888	121619214.7915612	11263.228013444656	10584.727243242472	0.962371	22.392679	0.0950979035489045	0.0631439512272607	-0.0258772694	-0.1532419709	-8.10383e-05	0.0934817939	0.1634145928	0.030254149	-0.067599678	0.1143628469	0.0669429958	0.032241301	-0.2169208678	0.0577726803	-0.0039581577	0.0388290217	0.0696600911	-0.176797006	0.0943342811	0.0078559517	-0.0504345321	0.0256164827	0.1201093552	-0.1990290145	0.0658368968	-0.1436395606	-0.0797669059	-0.1289387439	0.0121624971	0.0881704382	0.0163701227	-0.088662746	-0.0226717649	0.1458210081	0.1302490477	-0.0438343806	-0.0588115063	-0.0755112597	-0.0626896801	0.0635392962	-0.0845718785	0.1106815118	0.0802160427	-0.1644912794	0.1401626483	-0.1202528493	0.0057718532	0.0063496147	-0.0344159775	-0.0025428193	0.0583634278	0.0487729836	0.0871512497	-0.0525656283	0.0541106903	0.0436206257	0.1210002001	-0.113922774	0.0312618175	-0.1717327192	-0.0040165927	-0.076043604	0.0300347688	-0.0836581694	0.016612573	0.0247889376	0.1232354488	0.0210437135	0.1156465317	0.0856365664	-0.045723051	-0.0963001948	0.0272174965	-0.0590785976	-0.1249132453	0.0381399114	-0.0063731306	-0.0067940647	-0.0147792851	0.0184101611	-0.1145749306	0.1531573254	0.1524510324	0.0204599783191099	-0.0008381541442333	0.0004186107128184	7.025023694954606e-07	0.0349703465050907	-0.0328350060880212	0.0012229251346861	0.0010781376248003	-0.0835215897794086	-0.0049789505829949	2.478994890790621e-05	0.0069758559592798	0.0013149997967136	0.0008430001607375	1.729224465356809e-06	7.106492710036192e-07	1.1187125492639893e-07	-0.0001158881550126	1.3430064472241464e-08	1.2515177678807336e-14	0.0001700001218012	0.0001700275389228	2.8900041412422837e-08	2.890936399215372e-08
10156.451742393032	12.42393460092353	154.35415096802492	103153511.99555846	12235.725002779818	-31.825343368078396	1012.8524804960912	149712966.34365118	11059.26061061892	31.15040117862736	970.347493589429	122307245.25358716	11266.944265384484	10551.060509526236	0.965245	22.459555	0.0757308035145201	0.0526862153232869	0.0704378128	0.0505991489	0.2083418708	0.0390766217	0.0836795005	0.0450887719	-0.0028773572	0.0934715957	-0.0642901615	-0.1143029708	-0.0378334622	0.0225334986	-0.0229171899	-0.0587404436	0.2472467268	0.0132467594	0.075216647	-0.0380392203	0.0332361718	0.0018829501	0.2831592582	0.0538280561	-0.0953358233	-0.1798151773	-0.0226570025	-0.0262346963	-0.1063977383	-0.0677413693	-0.0395290724	-0.1145195664	-0.0258390618	0.1489377577	0.0779236373	0.0277275197	0.1428918253	0.0353670557	-0.0863473256	-0.059237355	-0.0437479243	-0.1510864419	0.0637701655	0.0203236763	0.1951417192	-0.1441629565	0.0001954883	-0.0226762138	-0.0159683784	-0.094339274	0.0921393593	-0.0857348112	0.0037594023	-0.00679197	0.1105395488	0.1551717705	0.0154524815	-0.0847113268	0.0638895752	-0.2177383103	0.0886612494	-0.0151266891	-0.0765472672	0.0994436953	0.068690471	0.1443287441	0.1214355157	0.0319569669	0.0190795754	0.057839724	-0.1494748844	0.1062957121	-0.0044447975	-0.0094135914	-0.2954611532	0.1617068037	-0.0026947464	0.0013761972	-0.0693726336	-0.0487280732	-0.2238593003	0.1527386503	0.1507811905	0.0178178987762436	-0.0026420795428662	0.0003174775168004	6.980584310832592e-06	0.0377241799042451	0.0027538333991544	0.0014231137494478	7.5835983902982835e-06	-0.1349238073742498	-0.0514022175948412	0.0026421879736674	0.0182044337963636	0.0012090014882144	-0.0001059983084991	1.461684598504634e-06	1.1235641404691549e-08	7.671687793919801e-07	6.552975244655812e-07	4.29414845570719e-13	5.885479360737808e-13	0.0004419999753307	0.0002719998535295	1.953639781923394e-07	7.398392032006946e-08
10138.429674418248	-18.022067974783567	324.79493408771947	102787756.26312453	12292.37878659692	56.65378381710252	3209.651220794988	151102576.233178	11037.683811154764	-21.57679946415556	465.5582751163834	121830463.91502796	11268.67990777044	10497.488592811456	1.148301	26.718939	0.2018759788472245	0.102018726204701	-0.077952335	-0.1157764862	0.0595668276	-0.1133962874	0.1386624096	0.4122047655	-0.0650007751	0.007624776	-0.0525903926	0.1024921304	-0.1577604987	-0.0944356717	0.0039361251	0.0035891079	0.0076563508	0.0671753781	0.1301962585	-0.0188296972	0.0803428209	-0.0887379938	0.0265351628	-0.1245312094	0.1842700544	-0.1553352102	-0.1720435651	-0.1040468341	0.016413848	-0.1360836965	-0.2527673165	0.2277274516	-0.0093882132	-0.0192829095	-0.0352066751	-0.0317069278	0.0536342531	-0.2255383135	0.0314096951	-0.0663847518	0.0788905495	0.0459102142	0.0594173831	-0.220741439	0.1329884427	-0.0400877358	-0.0277783516	-0.1435668864	-0.1139669771	0.088592941	0.0464696561	0.0468836544	-0.117135362	0.0281019795	-0.0087886628	0.1179282396	-0.0615314046	-0.1230728563	0.1034458622	-0.0198647664	0.0370447275	0.1097469953	0.0704280235	-0.0178056715	0.0459828475	-0.1102591538	0.5203697092	-0.2027766003	-0.1821732901	-0.1465830781	-0.0194497491	0.1527868138	-0.2029679933	-0.1839861973	0.1131635184	0.1217289032	0.355605852	0.065064176	-0.0182532304	0.0116920186	-0.0487980887	0.1521113526	0.148287834	0.0104363169762109	-0.0073815818000327	0.0001089167120279	5.448774987057399e-05	0.0732725644045615	0.0355483845003163	0.0053688686944206	0.0012636876405823	-0.0895897126225548	0.045334094751695	0.0020551801469556	0.0080263166077919	0.0031269482491702	0.0019179467609558	9.77780535298858e-06	3.678519777860845e-06	0.0002950983334906	0.0002943311647112	8.663083452025626e-08	8.708302642892937e-08	0.0003820395450941	-5.99604302366e-05	1.459542140157069e-07	3.595253194158175e-09
10162.945835612309	24.51616119406026	601.0421596931462	103285468.05758956	12263.505591062036	-28.87319553488487	833.6614203956957	150393569.3820098	11058.840237752162	21.156426597397516	447.5943863710689	122297947.40412629	11271.172021544806	10522.194189364023	1.2706	29.564629	0.1987040800450203	0.0835429198149873	0.0839984755	0.0411353956	0.2250224746	0.0520169046	0.0537119191	-0.049904187	0.0725380058	0.0713663335	-0.1693440797	-0.1079254869	0.0779515307	0.1285139947	-0.0816367569	-0.0433471422	0.0728685827	0.0211448449	0.0989371071	0.0195110153	-0.0480115048	0.038479604	0.1108410445	0.1189396811	-0.0730820715	-0.1895497617	-0.0432659175	0.0186483752	-0.0598750579	-0.0554397411	-0.2439208183	-0.1394250522	-0.2322647001	-0.0222383112	-0.1194586749	0.0203004069	-0.1812763894	0.1995162248	-0.0528544585	-0.0726953974	-0.1200087793	-0.1332959043	0.0051439922	0.0899897403	0.2042363635	-0.0859070211	-0.0105438062	-0.0423332464	0.0787102413	-0.0824694943	0.1958541133	0.1189563026	0.103859961	0.3487756991	0.1308034015	0.1336477739	0.1556722286	-0.061035704	0.0339974491	-0.1386424363	0.1679565837	-0.0378234388	0.0685633026	0.1994010592	-0.0713204476	0.0748893282	0.0896970805	-0.1368830915	0.1585531078	0.0203590962	-0.0780378456	-0.0818285903	0.1101149137	0.0529663189	-0.1080564589	-0.1201858491	0.1771638896	-0.3086971352	0.0317543016	0.0765537769	0.1716483323	0.151276289	0.1449845808	0.0121835183047522	0.0017472013285413	0.0001484381182822	3.052712482456485e-06	0.0091420389544651	-0.0641305254500964	8.357687624495734e-05	0.0041127242945054	-0.1226432015354674	-0.0330534889129126	0.001092533129316	0.0150413548828692	0.0020721125858078	-0.0010548356633624	4.293650568263087e-06	1.112678276701195e-06	-0.0003022488687776	-0.0005973472022682	3.568236800576459e-07	9.135437867733889e-08	0.0007253139665329	0.0003432744214388	5.260803500476888e-07	1.1783732841414293e-07
10166.04647745126	3.10064183895156	9.613979813456911	103348500.98169918	12232.971736492496	-30.53385456953947	932.3162748737864	149645597.50582424	11066.531267589382	7.6910298372204124	59.15193995701464	122468114.29653344	11278.17409462504	10720.71152565021	1.143584	26.609186	0.1380767412725287	0.0612736415115827	-0.0900585676	-0.1314104992	0.1084393044	0.0240741852	0.0143123818	-0.11481317	0.155267808	-0.0979710613	0.228360911	-0.1257242587	0.0007979606	0.0798474515	-0.0406254908	-0.0028540077	-0.2330415181	0.0285127566	0.2096252914	0.0121724477	0.0744944237	-0.0750424384	0.0573589517	-0.1810106595	-0.1372931269	-0.1158446498	-0.0524760919	0.2362134344	0.2236325458	-0.0069879207	0.0763733401	-0.0205167354	-0.2437258273	-0.0760954591	-0.2502213015	0.032861373	-0.0208048828	-0.1462486306	0.074867454	0.1793550209	0.1292271715	0.0650995615	0.0687654951	0.1794630486	0.0186471936	-0.2188227548	-0.2613194065	-0.2556270699	0.0439107827	0.1039834641	-0.1370193194	0.0246471993	0.2166133648	-0.0296639907	-0.1548138219	0.0374833534	0.0586382139	-0.145064122	0.0392606617	-0.0250578244	-0.0741042826	0.0139433893	0.2022924346	0.0576357983	-0.1109620384	0.0187074113	0.148714082	-0.1391708958	0.1559990702	-0.0098828834	0.2367029762	-0.1382054792	0.0936586684	-0.1132946097	0.2079194988	-0.1569718831	-0.0999178036	-0.0367046099	-0.1158900412	0.2666166364	0.1560745578	0.1502346003	0.1408894722	0.0225845224912148	0.0104010041864626	0.0005100606561561	0.0001081808880868	0.0214503364863816	0.0123082975319164	0.0004601169353789	0.0001514941881341	-0.0712563984502026	0.0513868030852648	0.0026406035313237	0.005077474320094	0.0027950016937389	0.0007228891079311	7.81203446800332e-06	5.225686623654219e-07	1.15972448999635e-06	0.0003034085932675	9.205677446862172e-08	1.344960892697294e-12	0.0004719989383539	-0.000253315028179	2.227829978072087e-07	6.41685035013276e-08
10157.08549267826	-8.960984773000746	80.29924810195124	103166385.70557515	12312.03290943108	79.0611729385837	6250.669066424639	151586154.36291394	11051.98786754773	-14.543400041651694	211.51048477151448	122146435.82442224	11267.0475735806	10588.506254989736	0.9811	22.828463	0.0730437899255892	0.040652680344658	0.0580290591	0.045804815	0.16797384	0.1294480002	-0.0022781696	0.0052580656	0.0776323208	0.0353345404	0.1030345556	-0.2381944838	0.1186598515	-0.0434984478	-0.1073589406	0.0599787542	-0.0779374344	0.0951140375	0.0602430705	-0.0031590778	-0.0389535396	-0.0572930386	0.0777769268	-0.0278001939	-0.1592688695	0.1231474341	0.0172977569	0.0009883423	0.0275437761	-0.0057821969	0.0841554883	0.0341933462	-0.0771612226	0.0634371439	-0.0308440577	-0.0635106318	0.0089665253	0.0558096253	-0.0388578075	0.1684539794	0.0262149398	-0.1349459018	-0.0068616068	0.0991366395	0.0379224566	-0.0058128359	-0.0673455423	0.0138769488	0.0147419848	0.1138343047	-0.0657216701	-0.0092383413	0.0748030731	0.0177386357	0.0354544444	-0.0347735858	-0.1098102896	-0.1385113465	0.0275127645	0.0130409908	-0.0734146522	0.0549082249	-0.0036098646	0.1812577533	-0.1525994413	-0.0245362506	-0.0623365042	0.0139513557	0.0310882814	-0.0404203684	0.1255432241	-0.0330810569	0.0593722465	-0.0548576343	0.152033281	-0.046088734	0.0286460151	-0.1028887527	0.0099416945	-0.106724963	-0.0367904787	0.1489877092	0.136024874	0.0146243952208777	-0.0079601272703371	0.0002138729355764	6.336362615996438e-05	0.0487171058374258	0.0272667693510442	0.0023733564011749	0.000743476710843	-0.0600566079919104	0.0111997904582921	0.0001254353063096	0.0036067961634939	0.0024790013685988	-0.0003160003251401	6.145447785514724e-06	9.985620548864897e-08	8.173688785806377e-07	-3.4235561141571225e-07	1.1720736466782617e-13	6.680918836721692e-13	0.0002559995621871	-0.0002159993761668	6.55357758399869e-08	4.665573050444677e-08
10150.0031515896	-7.082341088658723	50.15955529610362	103022563.97727884	12232.469971911742	-79.56293751933845	6330.261026706154	149633321.61372244	11040.510649315562	-11.477218232168523	131.7265383488216	121892875.39765032	11252.909730212525	10423.834739666496	0.934424	21.742403	0.0777758403890105	0.0421619174912573	-0.1269400008	0.0187693436	0.1751706107	0.0219187364	-0.0309915667	0.0047406346	-0.0120745917	-0.1032129819	-0.0097835146	0.0439327669	0.0989054698	-0.1772633171	-0.1660653156	0.0505184347	0.042632588	0.1254994977	0.0002692097	-0.0623581146	0.0647162522	-0.2582711436	-0.0568218877	0.102376163	-0.0993012563	0.0628593483	-0.0417316398	-0.0838507147	0.2150459412	0.0077157053	0.1384334114	-0.0147385457	-0.0066486198	0.085015331	0.2130610952	0.1101979626	-0.0585475004	-0.0070025512	0.1026501076	0.0702331944	0.1989298432	-0.0823831386	-0.0630582402	-0.010198588	0.0721063389	0.084084633	0.1285868821	0.0616174535	0.0314848663	0.2185970347	-0.0222364875	-0.0140895981	0.112063419	-0.085631831	0.0559291525	-0.1167358496	-0.2510686911	-0.1420584734	0.0701879445	0.1138000851	-0.0405896324	0.0946465741	0.1268490314	0.0764153506	-0.1446232521	-0.0434814973	-0.1451144935	-0.0226895045	-0.1407422002	0.0049064187	-0.0413486165	0.0289843043	-0.0727252415	0.0401479788	0.1201982999	0.0447859794	-0.0966226231	-0.0482028736	0.1380310857	-0.2229451404	0.0030259829	0.1475373187	0.1304173552	0.0147120581997768	8.766297889909944e-05	0.0002164446564736	7.684797869463953e-09	0.0521779885425672	0.0034608827051414	0.0027225424883482	1.1977709098746867e-05	-0.0206507672556313	0.0394058407362791	0.0015528202841329	0.0004264541882462	0.0027099481461553	0.0002309467775564	7.343818954850546e-06	5.333641406373138e-08	0.0002511388663837	0.0002503214975051	6.266085211320549e-08	6.307073020848993e-08	0.0004711603664993	0.0002151608043122	2.2199209095975474e-07	4.6294171712272833e-08
10143.175137730215	-6.8280138593854645	46.62177326395999	102884001.87466836	12225.36212218634	-7.107849725402048	50.52152771889797	149459479.01858848	11072.285961140127	31.775311824565502	1009.6704415483724	122595516.40526076	11272.478401108545	10505.979531838077	0.951789	22.14645	0.152573062284532	0.0878942847553394	-0.0589547223	-0.1716184123	-0.013224054	0.1974284237	-0.0253414922	0.010438902	0.0545019223	-0.1391809898	0.1030499171	0.1496503322	0.0090750847	-0.1018120805	-0.1164779372	0.0032865954	-0.0285226624	-0.0524865923	-0.0389347888	0.0188482205	-0.1256782376	-0.1470929514	-0.0325695944	-0.0188073437	-0.2259937848	0.1045624638	0.0386074754	-0.1096360018	0.1162048769	0.0411795269	0.0755475252	0.0532577946	-0.0368051483	0.0906245733	0.1109987829	0.0769155111	-0.2346088637	-0.0071624348	0.0835745329	0.2688012215	0.0267293074	0.0219791611	-0.0889477005	0.0217732005	0.0656573553	0.0227732921	0.0955074765	-0.0045557349	0.1086636703	0.1321501655	-0.0946933446	0.0404136712	-0.1045598283	0.0555693964	-0.023544177	0.0136422917	-0.0506183537	-0.1265688342	0.0598916508	0.0940534909	-0.0530383963	0.0117382612	0.0977433541	0.0542517142	-0.1560885396	-0.1781592887	-0.1617660018	0.1204946722	-0.1125426519	0.0205756364	0.0994820362	0.0365142912	-0.1180013991	0.060748766	0.0305058238	0.0402619859	-0.1076632906	-0.1735447778	0.1886033359	-0.0465856493	-0.0547341843	0.1458854101	0.124097542	0.0116875356525838	-0.0030245225471929	0.0001365984896304	9.147736638478828e-06	0.0714407639701733	0.019262775427606	0.005103782756642	0.0003710545171743	-0.0448263128228774	-0.024175545567246	0.0005844570034739	0.0020093983212944	0.0012399993453089	-0.0014699488008463	1.5375983763665007e-06	2.160749477109769e-06	4.3499643886946167e-08	-0.0002510953667398	6.304888319820122e-08	1.892219018291133e-15	7.000015923577687e-05	-0.0004011602072635	4.900022293034118e-09	1.6092951189171285e-07
10118.059064846984	-25.116072883231027	630.8171170757729	102375119.23973224	12211.770064250077	-13.59205793626279	184.7440389427243	149127328.10211432	11035.07737709947	-37.208584040658025	1384.478726310711	121772932.7185725	11235.303294871112	10339.7665684461	0.99308	23.107218	0.0926729648002974	0.0464786261450421	0.0367691879	0.1394331273	0.0675713711	0.2217717348	-0.0252536564	-0.0332460532	0.004893822	0.0261092119	0.0197473034	-0.0336758752	0.156263292	-0.074152411	-0.1531873455	0.0140553804	0.0848936176	-0.0593347011	-0.0695360406	-0.0279619249	-0.0579101458	-0.0903651482	0.1389396325	0.0779353595	-0.1166211148	0.1316883119	0.1312827923	-0.1349825136	-0.0210673121	-0.0476057088	0.0584736306	-0.0344876401	-0.0166840916	-0.1667800836	-0.1140438737	-0.2140493245	-0.0201923725	-0.0898104826	-0.0647180164	0.1509415193	0.0161108841	-0.192425085	-0.0130295887	0.0409407905	0.029358172	0.1135152663	0.1237661808	0.0481902602	0.094382152	0.0255943727	-0.1256655962	-0.1517158432	-0.0278115719	0.0804879203	-0.0590055328	-0.1393307051	-0.0057476367	-0.0970767938	0.0521337429	0.0409764777	-0.0879640099	0.0368449123	-0.0851749474	0.1721393548	-0.1421411533	-0.0326031816	-0.1882254976	0.1019603104	-0.0174542725	0.0874271553	-0.0489807136	0.0816299238	-0.005729116	0.0365010211	0.05355846	0.042915688	-0.0531033964	-0.0549826698	0.0556647773	0.027171821	-0.0878440479	0.1440342395	0.1170999511	0.0179108453060194	0.0062233096534355	0.0003207983795761	3.872958304254471e-05	0.05240855470457	-0.0190322092656032	0.0027466566062219	0.0003622249895297	-0.0767019481283455	-0.0318756353054681	0.0010160561261272	0.0058831888466834	0.001415031845125	0.000175032499816	2.0023151227178616e-06	3.0636375991872995e-08	-0.0001336661582849	-0.0001337096579287	1.787827262343322e-08	1.7866641870643943e-08	0.0004720942130067	0.0004020940537709	2.2287294595441547e-07	1.6167962807793402e-07
